Filename, N_kps1, N_kps2, Total_kps2, N_matches, average_match_rate, n_forward, n_backward, n_not_first_match_forward, n_not_first_match_backward, old_average_match_rate,difference,dif2,, average_match_rate_reduced_CC,,,
merced032-2010.png,269,356,625,10,0.032,12,11,0,0,0.032,0,0,,0.032,0,0,
merced033-2010.png,1256,1512,2768,245,0.177023121,274,276,0,0,0.182803468,-0.031620552,0.000999859,,0.177023121,0,0,
merced034-2010.png,935,1218,2153,44,0.0408732,59,60,0,0,0.044588946,-0.08333334,0.006944446,,0.0408732,0,0,
merced035-2010.png,626,375,1001,29,0.057942058,41,34,0,0,0.061938062,-0.06451613,0.004162331,,0.057942058,0,0,
merced036-2010.png,1367,490,1857,85,0.091545504,116,96,0,0,0.099084545,-0.076086957,0.005789225,,0.091545504,0,0,
merced037-2010.png,2973,968,3941,173,0.087794976,214,191,0,0,0.09286983,-0.054644809,0.002986055,,0.087794976,0,0,
merced038-2010.png,1850,186,2036,20,0.019646365,27,20,0,0,0.019646365,2.15002E-08,4.62257E-16,,0.019646365,0,0,
merced039-2010.png,784,472,1256,54,0.085987261,71,62,0,0,0.092356688,-0.068965518,0.004756243,,0.085987261,0,0,
merced040-2010.png,438,352,790,18,0.04556962,23,20,0,0,0.048101266,-0.052631582,0.002770083,,0.04556962,0,0,
merced041-2010.png,1033,1113,2146,169,0.15750233,208,202,0,0,0.168685927,-0.066298341,0.00439547,,0.15750233,0,0,
merced042-2010.png,1031,599,1630,29,0.035582822,46,43,0,0,0.044171779,-0.194444442,0.037808641,,0.035582822,0,0,
merced043-2010.png,1092,158,1250,22,0.0352,29,25,0,0,0.0368,-0.043478261,0.001890359,,0.0352,0,0,
merced044-2010.png,1433,291,1724,24,0.027842227,38,27,0,0,0.02900232,-0.039999994,0.0016,,0.027842227,0,0,
merced045-2010.png,3179,746,3925,149,0.075923567,186,160,0,0,0.077961783,-0.026143785,0.000683498,,0.075923567,0,0,
merced046-2010.png,2300,284,2584,41,0.031733746,60,43,0,0,0.031733746,4.09659E-09,1.6782E-17,,0.031733746,0,0,
merced047-2010.png,916,754,1670,137,0.164071856,155,156,0,0,0.173652695,-0.055172416,0.003043995,,0.165269461,-0.001197605,1.43426E-06,
merced048-2010.png,916,1210,2126,69,0.06491063,83,94,0,0,0.0724365,-0.103896098,0.010794399,,0.06491063,0,0,
merced049-2010.png,351,627,978,56,0.114519427,66,73,0,0,0.118609407,-0.034482759,0.001189061,,0.114519427,0,0,
merced050-2010.png,563,248,811,39,0.096177559,53,55,0,0,0.11837238,-0.187500002,0.035156251,,0.09864365,-0.002466091,6.08161E-06,
merced051-2010.png,1085,213,1298,20,0.030816641,29,23,0,0,0.033898305,-0.090909089,0.008264462,,0.032357473,-0.001540832,2.37416E-06,
merced052-2010.png,2085,186,2271,17,0.014971378,31,20,0,0,0.017613386,-0.149999992,0.022499997,,0.014971378,0,0,
merced053-2010.png,2232,193,2425,22,0.01814433,38,22,0,0,0.01814433,-5.68222E-09,3.22876E-17,,0.01814433,0,0,
merced054-2010.png,1796,115,1911,6,0.006279435,14,9,0,0,0.00837258,-0.250000018,0.062500009,,0.006279435,0,0,
merced055-2010.png,488,329,817,40,0.097919217,46,43,0,0,0.102815177,-0.047619043,0.002267573,,0.097919217,0,0,
merced056-2010.png,502,681,1183,10,0.016906171,12,14,0,0,0.016906171,-1.46515E-08,2.14665E-16,,0.016906171,0,0,
merced057-2010.png,477,226,703,11,0.031294452,17,12,0,0,0.031294452,1.10914E-08,1.2302E-16,,0.031294452,0,0,
merced058-2010.png,440,32,472,11,0.046610169,17,13,0,0,0.046610169,1.05449E-08,1.11195E-16,,0.050847458,-0.004237288,1.79546E-05,
merced059-2010.png,655,203,858,22,0.051282051,30,30,0,0,0.060606061,-0.153846159,0.023668641,,0.051282051,0,0,
merced060-2010.png,1006,157,1163,10,0.017196905,15,13,0,0,0.018916595,-0.09090909,0.008264463,,0.017196905,0,0,
merced061-2010.png,898,436,1334,21,0.031484258,32,26,0,0,0.035982009,-0.125,0.015625,,0.031484258,0,0,
merced062-2010.png,1459,270,1729,27,0.031231926,32,30,0,0,0.03470214,-0.100000001,0.01,,0.031231926,0,0,
merced063-2010.png,1310,317,1627,23,0.028272895,39,28,0,0,0.028272895,-3.58647E-09,1.28628E-17,,0.028272895,0,0,
merced064-2010.png,964,643,1607,21,0.026135657,40,33,0,0,0.031113877,-0.160000006,0.025600002,,0.026135657,0,0,
oakland001-2010.png,2989,3138,6127,191,0.062346989,228,227,0,0,0.066590501,-0.063725489,0.004060938,,0.062346989,0,0,
oakland002-2010.png,3766,3458,7224,265,0.073366556,319,316,0,0,0.076688815,-0.043321299,0.001876735,,0.073920266,-0.00055371,3.06595E-07,
oakland003-2010.png,3959,4543,8502,461,0.108445072,551,535,0,0,0.115972712,-0.06490872,0.004213142,,0.108445072,0,0,
